,Channel,Compound,Negative,Neutral,Positive,Text,Time
0,BBC,0.128,0.077,0.821,0.101,"Could this be an answer to global water shortages? 🏜💧 This machine creates water out of thin air. 

https://t.co/caz4nXMJg5",9.546111111111111
1,BBC,-0.7506,0.286,0.714,0.0,"Tonight, @regyates meets people whose lives have been devastated by the Grenfell fire. 

Reggie Yates: Searching fo… https://t.co/HPgtcZuHte",10.028055555555556
2,BBC,0.5719,0.0,0.837,0.163,"Tonight, @mcgregor_ewan and @McgColin celebrate the centenary of the Royal Air Force. 

RAF at 100 with Ewan and Co… https://t.co/nF2iwBP51b",10.611944444444445
3,BBC,0.0,0.0,1.0,0.0,The first ever statue of David Bowie has been unveiled in the town where he debuted Ziggy Stardust. ⚡️… https://t.co/lFgROYVkv1,11.062222222222223
4,BBC,0.5267,0.0,0.815,0.185,"When you're enjoying being single and people just can't deal with it. 🙄😂 @kathbum #LiveAtTheApollo 

https://t.co/byHMHWyhPq",11.777777777777779
5,BBC,0.4588,0.0,0.833,0.167,"🇺🇸🏝🇬🇧 Welcome to Tangier Island, the tiny US island where people speak with a British accent.… https://t.co/1RoM285gRJ",14.22888888888889
6,BBC,0.0,0.0,1.0,0.0,"💬 We could listen to him speak all day. 

📽 Sir David Attenborough's voice was just as iconic in the 60s as it is t… https://t.co/zYi3oK5C13",14.779166666666667
7,BBC,0.1779,0.0,0.909,0.091,"Predictions suggest a build-up of about 80,000 tonnes of plastic in the Pacific Ocean is growing rapidly. ♻️🌊💔… https://t.co/uKD9BQWmUi",15.12888888888889
8,BBC,0.5574,0.0,0.816,0.184,"👽✨🛸 @prattprattpratt stars as a happy-go-lucky hero who joins forces with an unlikely group of aliens. 

Guardians… https://t.co/B9W7kRZ1Qz",16.22861111111111
9,BBC,0.0,0.0,1.0,0.0,"Weighing just 100g, a newborn panda is one 900th the size of its mum! 🐼💕 #DavidAttenboroughsNaturalCuriosities https://t.co/nKLQh03DJs",17.229166666666668
10,BBC,0.0,0.0,1.0,0.0,🐟Meet SoFi - the soft robot fish developed by MIT to swim among real fish in coral reefs and around the ocean to he… https://t.co/HDa7q7WsHf,18.77861111111111
11,BBC,-0.3612,0.161,0.839,0.0,"Ever wondered what made you feel moody? It might be your gut.

👉 https://t.co/l8oMv5gPN2 https://t.co/vq2yhtBOAn",19.775555555555556
12,BBC,0.5719,0.0,0.764,0.236,"RT @BBCScotland: Up your brunch game with perfect poached eggs.

via @bbcthesocial https://t.co/1imXNeOZ9d",20.554444444444446
13,BBC,-0.4019,0.101,0.899,0.0,"RT @bbcweather: #Winter may not be done with us yet, as colder continental air fights back against milder maritime air across the UK this w…",20.555833333333332
14,BBC,0.0,0.0,1.0,0.0,RT @BBCSport: A simply astonishing confession from Australia captain Steve Smith and batsman Cameron Bancroft 😳 https://t.co/YaE7fBZamq,20.556944444444444
15,BBC,-0.25,0.153,0.743,0.104,A woman who drinks 30 cans a day says her addiction to energy drinks is worse than gambling.… https://t.co/d11ATW0F0f,21.27638888888889
16,BBC,0.0,0.0,1.0,0.0,You learn something new every day. Here's how to poo a baby jaguar. 🤷💩#BigCatsAboutTheHouse https://t.co/Eg5rF1414b,21.7125
17,BBC,-0.4215,0.141,0.859,0.0,When the clocks have gone forward but there's no way you're getting out of bed yet. 🙅‍♂️⏰#DaylightSavings https://t.co/cHBPV3ITsQ,22.246388888888887
18,BBC,-0.3818,0.115,0.885,0.0,"""I still see people screaming for help.""

This Sunday at 9pm on @BBCTwo, @REGYATES meets the people whose lives wer… https://t.co/RS16yXF17H",8.712777777777777
19,BBC,0.4767,0.0,0.866,0.134,"The story of the last decade of Picasso's life, through the words of family and friends. 🎨

Picasso's Last Stand |… https://t.co/RyiuI8KgSk",9.276666666666667
20,BBC,0.5859,0.0,0.817,0.183,"""Beauty is your inside, it's your personality and what shines from beneath."" 

25-year-old rapper Paigey Cakey had… https://t.co/CVGr69Y0oO",10.011944444444444
21,BBC,0.5719,0.0,0.748,0.252,Cambridge have won the men's and women's Boat Races. https://t.co/COTzXYuo4N 🏆 🚣 #BoatRace2018 https://t.co/6SQjF1ToSt,10.545277777777779
22,BBC,0.3182,0.0,0.777,0.223,"📺😂 @RomeshRanga is NOT a fan of Gogglebox. #LiveAtTheApollo
https://t.co/FHm9g6Emss",11.24611111111111
23,BBC,0.0,0.0,1.0,0.0,"When proposals go wrong... 😳💍 #Doodlebugs 
https://t.co/8Yi6giWO3S",12.262777777777778
24,BBC,0.2732,0.083,0.788,0.129,"Writer Sara Maitland has lived alone in rural Scotland for 20 years. 

Here are seven valuable life lessons we can… https://t.co/2eAqUlnwuA",13.776944444444444
25,BBC,-0.0772,0.15,0.719,0.131,🤳How an Instagram video lost me my dream job in fashion: https://t.co/72yWgHdc1k https://t.co/fl3DxMcIL5,14.278055555555556
26,BBC,0.0,0.0,1.0,0.0,🚣 @clarebalding is live from the River Thames as @UniofOxford and @Cambridge_Uni  meet for one of the most iconic e… https://t.co/Ls9rtIYov4,15.25
27,BBC,0.296,0.0,0.845,0.155,RT @bbcthree: The barber helping men with dementia relive their younger lives. https://t.co/p8axQVK836,15.254166666666666
28,BBC,0.0,0.0,1.0,0.0,"Which animals are likely to become extinct in your lifetime? 🦏💔
https://t.co/9KwlmcNrWV",16.229444444444443
29,BBC,0.1867,0.0,0.902,0.098,"Don't miss the highlights from the Gymnastics World Cup! 🤸🤸‍♀️🇬🇧

World Cup Gymnastics | @BBCOne | 2:05pm |… https://t.co/7mpufyeEMo",16.72861111111111
30,BBC,0.0,0.0,1.0,0.0,"How much do you know about horses? Take this quiz to see if you are an equestrian expert…🐴

https://t.co/ChGCB9Xi1W https://t.co/P9UgJ99nsx",17.795277777777777
31,BBC,0.4215,0.0,0.833,0.167,"Meet Hester, the 10-year-old visually impaired skier who's hoping for Paralympic gold one day. ⛷🥇https://t.co/6aiUaTc3yS",18.762777777777778
32,BBC,0.5411,0.0,0.857,0.143,"""The enthusiastic viewer should feel he is almost the man on the spot!"" 

In 1949, the BBC announced it would telev… https://t.co/WEoPpkrW1V",19.229444444444443
33,BBC,0.0,0.0,1.0,0.0,RT @BBCNewsNI: Prince Harry and Meghan Markle are visiting Northern Ireland https://t.co/ODxLd1LIr8 https://t.co/s0zPTXj3Tk,19.57027777777778
34,BBC,0.0,0.0,1.0,0.0,"RT @bbcf1: Lewis Hamilton took the first pole of the season in spectacular style ⚡️

https://t.co/a7YDOx0FlQ",19.73
35,BBC,0.4995,0.0,0.867,0.133,"RT @sportrelief: A humongous THANK YOU to everyone who has taken part, fund-raised &amp; watched over the past weeks &amp; tonight. The #SportRelie…",19.754722222222224
36,BBC,0.128,0.065,0.85,0.085,RT @sportrelief: The nation has joined together for this year's #SportRelief pulling out all the stops to make their steps count. Well done…,19.75583333333333
37,BBC,0.0,0.0,1.0,0.0,🥑A Cultural history of the avocado: https://t.co/jo1UyWlVw7 https://t.co/7VF6pBpG57,19.77611111111111
38,BBC,0.0,0.0,1.0,0.0,"Meet Alexandre, one of the only male performers of ‘baladi’ – also known as belly dancing – in the Middle East. 🎶

 https://t.co/K12N1Y6PU7",20.729166666666668
